ai0,ai1,port0/line0,port0/line1,port0/line2,port0/line3
-1.4924837117374476,-1.332412318960703,0.0,0.0,0.0,1.0
-1.456821685325929,-1.2916438930957064,0.0,0.0,0.0,1.0
-1.4109705085111184,-1.2202991478319642,0.0,0.0,0.0,1.0
-1.3549301812930175,-1.1285701896357239,0.0,0.0,0.0,1.0
-1.2988898540749148,-1.0470333379057326,0.0,0.0,0.0,1.0
-1.2581332524617501,-0.9705925394088641,0.0,0.0,0.0,1.0
-1.2275658012518775,-0.9145359538444957,0.0,0.0,0.0,1.0
-1.2020929252436492,-0.8737675279794992,0.0,0.0,0.0,1.0
-1.1715254740337748,-0.8533833150470027,0.0,0.0,0.0,1.0
-1.1613363236304846,-0.8635754215132501,0.0,0.0,0.0,1.0
-1.1715254740337748,-0.9094399006113711,0.0,0.0,0.0,1.0
-1.2173766508485855,-0.9858806991082378,0.0,0.0,0.0,1.0
-1.2785115532683324,-1.0827057105376028,0.0,0.0,0.0,1.0
-1.3498356060913714,-1.1846267752000923,0.0,0.0,0.0,1.0
-1.4160650837127644,-1.2712596801632081,0.0,0.0,0.0,1.0
-1.4670108357292193,-1.332412318960703,0.0,0.0,0.0,1.0
-1.507767437342384,-1.368084691592573,0.0,0.0,0.0,1.0
-1.5332403133506123,-1.3884689045250713,0.0,0.0,0.0,1.0
-1.5536186141571946,-1.3884689045250713,0.0,0.0,0.0,1.0
-1.5536186141571946,-1.3731807448256976,0.0,0.0,0.0,1.0
-1.523051162947322,-1.332412318960703,0.0,0.0,0.0,1.0
-1.4670108357292193,-1.2661636269300836,0.0,0.0,0.0,1.0
-1.38549763250289,-1.1846267752000923,0.0,0.0,0.0,1.0
-1.2988898540749148,-1.103089923470101,0.0,0.0,0.0,1.0
-1.2224712260502315,-1.0215530717401098,0.0,0.0,0.0,1.0
-1.1766200492354209,-0.960400432942615,0.0,0.0,0.0,1.0
-1.1460525980255483,-0.9094399006113711,0.0,0.0,0.0,1.0
-1.1307688724206102,-0.8839596344457483,0.0,0.0,0.0,1.0
-1.125674297218966,-0.8686714747463746,0.0,0.0,0.0,1.0
-1.1358634476222562,-0.8788635812126238,0.0,0.0,0.0,1.0
-1.1664308988321306,-0.934920166776994,0.0,0.0,0.0,1.0
-1.2224712260502315,-1.0113609652738607,0.0,0.0,0.0,1.0
-1.2887007036716245,-1.1081859767032256,0.0,0.0,0.0,1.0
-1.3651193316963077,-1.2050109881325906,0.0,0.0,0.0,1.0
-1.4211596589144104,-1.2865478398625818,0.0,0.0,0.0,1.0
-1.4670108357292193,-1.3527965318932011,0.0,0.0,0.0,1.0
-1.4924837117374476,-1.3986610109913205,0.0,0.0,0.0,1.0
-1.507767437342384,-1.4292373303900678,0.0,0.0,0.0,1.0
-1.517956587745676,-1.449621543322566,0.0,0.0,0.0,1.0
-1.507767437342384,-1.449621543322566,0.0,0.0,0.0,1.0
-1.4822945613341574,-1.4139491706906941,0.0,0.0,0.0,1.0
-1.4262542341160547,-1.3477004786600766,0.0,0.0,0.0,1.0
-1.3549301812930175,-1.261067573696959,0.0,0.0,0.0,1.0
-1.2785115532683324,-1.1540504558013467,0.0,0.0,0.0,1.0
-1.2020929252436492,-1.0623214976051045,0.0,0.0,0.0,1.0
-1.1460525980255483,-0.9858806991082378,0.0,0.0,0.0,1.0
-1.1103905716140279,-0.934920166776994,0.0,0.0,0.0,1.0
-1.0951068460090916,-0.9043438473782466,0.0,0.0,0.0,1.0
-1.0849176956058013,-0.8941517409119975,0.0,0.0,0.0,1.0
-1.1002014212107376,-0.9196320070776203,0.0,0.0,0.0,1.0
-1.1358634476222562,-0.9807846458751133,0.0,0.0,0.0,1.0
-1.1969983500420032,-1.0776096573044782,0.0,0.0,0.0,1.0
-1.2734169780666882,-1.1897228284332169,0.0,0.0,0.0,1.0
-1.3498356060913714,-1.3018359995619555,0.0,0.0,0.0,1.0
-1.4160650837127644,-1.3986610109913205,0.0,0.0,0.0,1.0
-1.456821685325929,-1.464909703021938,0.0,0.0,0.0,1.0
-1.4771999861325114,-1.50058207565381,0.0,0.0,0.0,1.0
-1.4873891365358016,-1.5209662885863082,0.0,0.0,0.0,1.0
-1.4924837117374476,-1.5158702353531837,0.0,0.0,0.0,1.0
-1.4873891365358016,-1.4903899691875608,0.0,0.0,0.0,1.0
-1.461916260527575,-1.4445254900894415,0.0,0.0,0.0,1.0
-1.4058759333094724,-1.3731807448256976,0.0,0.0,0.0,1.0
-1.3345518804864351,-1.2916438930957064,0.0,0.0,0.0,1.0
-1.2581332524617501,-1.2101070413657151,0.0,0.0,0.0,1.0
-1.1817146244370669,-1.138762296101973,0.0,0.0,0.0,1.0
-1.1307688724206102,-1.0979938702369765,0.0,0.0,0.0,1.0
-1.1002014212107376,-1.0776096573044782,0.0,0.0,0.0,1.0
-1.0900122708074456,-1.067417550838229,0.0,0.0,0.0,1.0
-1.0798231204041553,-1.067417550838229,0.0,0.0,0.0,1.0
-1.0849176956058013,-1.0878017637707273,0.0,0.0,0.0,1.0
-1.1103905716140279,-1.1285701896357239,0.0,0.0,0.0,1.0
-1.1562417484288385,-1.1846267752000923,0.0,0.0,0.0,1.0
-1.2224712260502315,-1.261067573696959,0.0,0.0,0.0,1.0
-1.3039844292765608,-1.332412318960703,0.0,0.0,0.0,1.0
-1.38549763250289,-1.4088531174575696,0.0,0.0,0.0,1.0
-1.456821685325929,-1.464909703021938,0.0,0.0,0.0,1.0
-1.5026728621407397,-1.5158702353531837,0.0,0.0,0.0,1.0
